naselje,obcina,regija
PRELSKA,VELENJE,SAVINJSKA
PREM,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PREMAGOVCE,KRŠKO,POSAVSKA
PREMANČAN/PREMANZANO,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PREPOLJE,STARŠE,PODRAVSKA
PREPUŽ,SLOVENSKA BISTRICA,PODRAVSKA
PRERAD,DORNAVA,PODRAVSKA
PRESERJE,BRASLOVČE,SAVINJSKA
PRESERJE,BREZOVICA,OSREDNJESLOVENSKA
PRESERJE,NOVA GORICA,GORIŠKA
PRESERJE PRI KOMNU,KOMEN,OBALNO-KRAŠKA
PRESERJE PRI LUKOVICI,LUKOVICA,OSREDNJESLOVENSKA
PRESERJE PRI RADOMLJAH,DOMŽALE,OSREDNJESLOVENSKA
PRESERJE PRI ZLATEM POLJU,LUKOVICA,OSREDNJESLOVENSKA
PRESEČNO,DOBJE,SAVINJSKA
PRESIKA,LJUTOMER,POMURSKA
PRESKA,SEVNICA,POSAVSKA
PRESKA,SODRAŽICA,JUGOVZHODNA SLOVENIJA
PRESKA NAD KOSTREVNICO,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
PRESKA PRI DOBRNIČU,TREBNJE,JUGOVZHODNA SLOVENIJA
PRESLADOL,KRŠKO,POSAVSKA
PRESTRANEK,POSTOJNA,PRIMORSKO-NOTRANJSKA
PRETREŽ,SLOVENSKA BISTRICA,PODRAVSKA
PRETRŽ,MORAVČE,OSREDNJESLOVENSKA
PREVALE,LITIJA,ZASAVSKA
PREVALJE,LUKOVICA,OSREDNJESLOVENSKA
PREVALJE,PREVALJE,KOROŠKA
PREVALJE POD KRIMOM,BREZOVICA,OSREDNJESLOVENSKA
PREVEG,LITIJA,ZASAVSKA
PREVOJE,LUKOVICA,OSREDNJESLOVENSKA
PREVOJE PRI ŠENTVIDU,LUKOVICA,OSREDNJESLOVENSKA
PREVOLE,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PREZID,VRHNIKA,OSREDNJESLOVENSKA
PREZRENJE,RADOVLJICA,GORENJSKA
PREČNA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
PREŠA,MAJŠPERK,PODRAVSKA
PREŠKI VRH,RAVNE NA KOROŠKEM,KOROŠKA
PREŠNA LOKA,SEVNICA,POSAVSKA
PREŠNICA,HRPELJE - KOZINA,OBALNO-KRAŠKA
PREŽA,KOČEVJE,JUGOVZHODNA SLOVENIJA
PREŽENJSKE NJIVE,LITIJA,ZASAVSKA
PREŽGANJE,LJUBLJANA,OSREDNJESLOVENSKA
PREŽIGAL,SLOVENSKE KONJICE,SAVINJSKA
PRHAJEVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
PRI CERKVI - STRUGE,DOBREPOLJE,OSREDNJESLOVENSKA
PRIBINCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PRIBIŠJE,SEMIČ,JUGOVZHODNA SLOVENIJA
PRIGORICA,RIBNICA,JUGOVZHODNA SLOVENIJA
PRIHODI,JESENICE,GORENJSKA
PRIHOVA,NAZARJE,SAVINJSKA
PRIHOVA,OPLOTNICA,PODRAVSKA
PRIKRNICA,MORAVČE,OSREDNJESLOVENSKA
PRILESJE,LUKOVICA,OSREDNJESLOVENSKA
PRILESJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
PRILESJE PRI PLAVAH,KANAL,GORIŠKA
PRILIPE,BREŽICE,POSAVSKA
PRILOZJE,METLIKA,JUGOVZHODNA SLOVENIJA
PRIMOSTEK,METLIKA,JUGOVZHODNA SLOVENIJA
PRIMOŽ,SEVNICA,POSAVSKA
PRIMOŽ PRI LJUBNEM,LJUBNO,SAVINJSKA
PRIMOŽ PRI ŠENTJURJU,ŠENTJUR,SAVINJSKA
PRIMOŽI,KOČEVJE,JUGOVZHODNA SLOVENIJA
PRIMSKOVO,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
PRIMČA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
PRIMŠTAL,TREBNJE,JUGOVZHODNA SLOVENIJA
PRISTAVA,BOROVNICA,OSREDNJESLOVENSKA
PRISTAVA,CIRKULANE,PODRAVSKA
PRISTAVA,LJUTOMER,POMURSKA
PRISTAVA,NOVA GORICA,GORIŠKA
PRISTAVA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
PRISTAVA,SEŽANA,OBALNO-KRAŠKA
PRISTAVA,TRŽIČ,GORENJSKA
PRISTAVA,VOJNIK,SAVINJSKA
PRISTAVA NAD STIČNO,IVANČNA GORICA,OSREDNJESLOVENSKA
PRISTAVA OB KRKI,KRŠKO,POSAVSKA
PRISTAVA POD RAKO,KRŠKO,POSAVSKA
PRISTAVA PRI LESIČNEM,PODČETRTEK,SAVINJSKA
PRISTAVA PRI LESKOVCU,KRŠKO,POSAVSKA
PRISTAVA PRI MESTINJU,PODČETRTEK,SAVINJSKA
PRISTAVA PRI POLH. GRADCU,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
PRISTAVA PRI VIŠNJI GORI,IVANČNA GORICA,OSREDNJESLOVENSKA
PRISTAVA PRI ŠENTJERNEJU,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
PRISTAVICA,ROGAŠKA SLATINA,SAVINJSKA
PRISTAVICA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
PRISTAVICA PRI VEL. GABRU,TREBNJE,JUGOVZHODNA SLOVENIJA
PRISTAVLJA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
PRISTAVO,BRDA,GORIŠKA
PRISTOVA,DOBRNA,SAVINJSKA
PRNEK,ROGAŠKA SLATINA,SAVINJSKA
PROSENIŠKO,ŠENTJUR,SAVINJSKA
PROSENJAKOVCI/PARTOSFALVA,MORAVSKE TOPLICE,POMURSKA
PROSEČKA VAS,PUCONCI,POMURSKA
PROŽINSKA VAS,ŠTORE,SAVINJSKA
PRTOVČ,ŽELEZNIKI,GORENJSKA
PRUŠNJA VAS,KRŠKO,POSAVSKA
PRVAČINA,NOVA GORICA,GORIŠKA
PRVENCI,MARKOVCI,PODRAVSKA
PRVINE,LUKOVICA,OSREDNJESLOVENSKA
PRŠETINCI,SVETI TOMAŽ,PODRAVSKA
PTUJ,PTUJ,PODRAVSKA
PTUJSKA CESTA,GORNJA RADGONA,POMURSKA
PTUJSKA GORA,MAJŠPERK,PODRAVSKA
PUC,KOSTEL,JUGOVZHODNA SLOVENIJA
PUCONCI,PUCONCI,POMURSKA
PUDOB,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
PUGLED,SEMIČ,JUGOVZHODNA SLOVENIJA
PUGLED PRI KARLOVICI,RIBNICA,JUGOVZHODNA SLOVENIJA
PUGLED PRI MOKRONOGU,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
PUGLED PRI STAREM LOGU,KOČEVJE,JUGOVZHODNA SLOVENIJA
PUNGERT,IVANČNA GORICA,OSREDNJESLOVENSKA
PUNGERT,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
PUNGERT,ŠKOFJA LOKA,GORENJSKA
PURGA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PURKAČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
PUSTI GRADEC,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PUSTI HRIB,RIBNICA,JUGOVZHODNA SLOVENIJA
PUSTI JAVOR,IVANČNA GORICA,OSREDNJESLOVENSKA
PUSTIKE,ŠMARJE PRI JELŠAH,SAVINJSKA
PUSTO POLJE,NAZARJE,SAVINJSKA
PUČE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PUŠENCI,ORMOŽ,PODRAVSKA
PUŠTAL,ŠKOFJA LOKA,GORENJSKA
PUŠČA,MURSKA SOBOTA,POMURSKA
PUŠČAVA,LOVRENC NA POHORJU,PODRAVSKA
PUŠČAVA,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
PUŠČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
PUŽEVCI,PUCONCI,POMURSKA
PŠAJNOVICA,KAMNIK,OSREDNJESLOVENSKA
PŠATA,CERKLJE NA GORENJSKEM,GORENJSKA
PŠATA,DOMŽALE,OSREDNJESLOVENSKA
PŠENIČNA POLICA,CERKLJE NA GORENJSKEM,GORENJSKA
PŠEVO,KRANJ,GORENJSKA
RADANA VAS,ZREČE,SAVINJSKA
RADANJA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
RADEGUNDA,MOZIRJE,SAVINJSKA
RADEHOVA,LENART,PODRAVSKA
RADELCA,RADLJE OB DRAVI,KOROŠKA
RADENCI,RADENCI,POMURSKA
RADENSKI VRH,RADENCI,POMURSKA
RADEČE,RADEČE,POSAVSKA
RADEŽ,SEVNICA,POSAVSKA
RADGONICA,LITIJA,ZASAVSKA
RADIZEL,HOČE - SLIVNICA,PODRAVSKA
RADKOVEC,SLOVENSKA BISTRICA,PODRAVSKA
RADLEK,BLOKE,PRIMORSKO-NOTRANJSKA
RADLJE OB DRAVI,RADLJE OB DRAVI,KOROŠKA
RADMIRJE,LJUBNO,SAVINJSKA
RADMOŽANCI/RADAMOS,LENDAVA/LENDVA,POMURSKA
RADNA,SEVNICA,POSAVSKA
RADNA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
RADOBLJE,LAŠKO,SAVINJSKA
RADOHOVA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
RADOMERJE,LJUTOMER,POMURSKA
RADOMERŠČAK,LJUTOMER,POMURSKA
RADOMLJE,DOMŽALE,OSREDNJESLOVENSKA
RADOSLAVCI,LJUTOMER,POMURSKA
RADOVCI,GRAD,POMURSKA
RADOVICA,METLIKA,JUGOVZHODNA SLOVENIJA
RADOVIČI,METLIKA,JUGOVZHODNA SLOVENIJA
RADOVLJA,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
RADOVLJICA,RADOVLJICA,GORENJSKA
RADOVNA,GORJE,GORENJSKA
RADOŠI,METLIKA,JUGOVZHODNA SLOVENIJA
RADUHA,LUČE,SAVINJSKA
RADUŠE,SLOVENJ GRADEC,KOROŠKA
RADVENCI,GORNJA RADGONA,POMURSKA
RAFOLČE,LUKOVICA,OSREDNJESLOVENSKA
RAJEC,BREŽICE,POSAVSKA
RAJHENAV,KOČEVJE,JUGOVZHODNA SLOVENIJA
RAJNDOL,KOČEVJE,JUGOVZHODNA SLOVENIJA
RAJNKOVEC,ROGAŠKA SLATINA,SAVINJSKA
RAJNOVŠČE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
RAJŠELE,KOSTEL,JUGOVZHODNA SLOVENIJA
RAKA,KRŠKO,POSAVSKA
RAKE,KOSTEL,JUGOVZHODNA SLOVENIJA
RAKEK,CERKNICA,PRIMORSKO-NOTRANJSKA
RAKITNA,BREZOVICA,OSREDNJESLOVENSKA
RAKITNICA,RIBNICA,JUGOVZHODNA SLOVENIJA
RAKITNIK,POSTOJNA,PRIMORSKO-NOTRANJSKA
RAKITOVEC,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
RAKITOVEC,ŠENTJUR,SAVINJSKA
RAKIČAN,MURSKA SOBOTA,POMURSKA
RAKOV ŠKOCJAN,CERKNICA,PRIMORSKO-NOTRANJSKA
RAKOVA STEZA,VOJNIK,SAVINJSKA
RAKOVCI,SVETI TOMAŽ,PODRAVSKA
RAKOVEC,BREŽICE,POSAVSKA
RAKOVEC,METLIKA,JUGOVZHODNA SLOVENIJA
RAKOVEC,ŠMARJE PRI JELŠAH,SAVINJSKA
RAKOVICA,KRANJ,GORENJSKA
RAKOVLJE,BRASLOVČE,SAVINJSKA
RAKOVNIK,MEDVODE,OSREDNJESLOVENSKA
RAKOVNIK,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
RAKOVNIK PRI BIRČNI VASI,NOVO MESTO,JUGOVZHODNA SLOVENIJA
RAKOVNIK PRI ŠENTRUPERTU,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
RAKULIK,POSTOJNA,PRIMORSKO-NOTRANJSKA
RANCA,PESNICA,PODRAVSKA
RANKOVCI,TIŠINA,POMURSKA
RANČE,RAČE - FRAM,PODRAVSKA
RAPLJEVO,DOBREPOLJE,OSREDNJESLOVENSKA
RASKOVEC,OPLOTNICA,PODRAVSKA
RATANSKA VAS,ROGAŠKA SLATINA,SAVINJSKA
RATEČE,KRANJSKA GORA,GORENJSKA
RATEČEVO BRDO,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
RATEŽ,NOVO MESTO,JUGOVZHODNA SLOVENIJA
RATJE,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
RATKOVCI,MORAVSKE TOPLICE,POMURSKA
RAVENSKA VAS,ZAGORJE OB SAVI,ZASAVSKA
RAVNA,KANAL,GORIŠKA
RAVNACE,METLIKA,JUGOVZHODNA SLOVENIJA
RAVNE,AJDOVŠČINA,GORIŠKA
RAVNE,CERKLJE NA GORENJSKEM,GORENJSKA
RAVNE,CERKNICA,PRIMORSKO-NOTRANJSKA
RAVNE,LITIJA,ZASAVSKA
RAVNE,MIRNA,JUGOVZHODNA SLOVENIJA
RAVNE,ŠOŠTANJ,SAVINJSKA
RAVNE,ŽELEZNIKI,GORENJSKA
RAVNE NA BLOKAH,BLOKE,PRIMORSKO-NOTRANJSKA
RAVNE NA KOROŠKEM,RAVNE NA KOROŠKEM,KOROŠKA
RAVNE NAD ŠENTRUPERTOM,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
RAVNE PRI CERKNEM,CERKNO,GORIŠKA
RAVNE PRI MLINŠAH,ZAGORJE OB SAVI,ZASAVSKA
RAVNE PRI ZDOLAH,KRŠKO,POSAVSKA
RAVNE PRI ŠMARTNEM,KAMNIK,OSREDNJESLOVENSKA
RAVNE PRI ŽIREH,ŽIRI,GORENJSKA
RAVNE V BOHINJU,BOHINJ,GORENJSKA
RAVNI,KRŠKO,POSAVSKA
RAVNI DOL,IVANČNA GORICA,OSREDNJESLOVENSKA
RAVNI DOL,SODRAŽICA,JUGOVZHODNA SLOVENIJA
RAVNICA,NOVA GORICA,GORIŠKA
RAVNICA,RADOVLJICA,GORENJSKA
RAVNIK,BLOKE,PRIMORSKO-NOTRANJSKA
RAVNIK,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
RAVNIK PRI HOTEDRŠICI,LOGATEC,OSREDNJESLOVENSKA
RAVNJE,SEŽANA,OBALNO-KRAŠKA
RAVNO,DOBJE,SAVINJSKA
RAVNO,KRŠKO,POSAVSKA
RAVNO BRDO,LJUBLJANA,OSREDNJESLOVENSKA
RAZBOR,SEVNICA,POSAVSKA
RAZBOR,ŠENTJUR,SAVINJSKA
RAZBOR PRI ČEMŠENIKU,ZAGORJE OB SAVI,ZASAVSKA
RAZBORCA,MISLINJA,KOROŠKA
RAZBORE,TREBNJE,JUGOVZHODNA SLOVENIJA
RAZBORE-K. O. JEŽNI VRH,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
RAZBORE-K. O. POLJANE - DEL,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
RAZDELJ,VOJNIK,SAVINJSKA
RAZDRTO,POSTOJNA,PRIMORSKO-NOTRANJSKA
RAZDRTO,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
RAZGOR,VOJNIK,SAVINJSKA
RAZGOR PRI ŽABLJEKU,SLOVENSKA BISTRICA,PODRAVSKA
RAZGORCE,VOJNIK,SAVINJSKA
RAZGURI,SEŽANA,OBALNO-KRAŠKA
RAZKRIŽJE,RAZKRIŽJE,POMURSKA
RAZORI,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
RAZPOTJE,IDRIJA,GORIŠKA
RAZPOTJE,ZAGORJE OB SAVI,ZASAVSKA
RAZTEZ,KRŠKO,POSAVSKA
RAZVANJE,MARIBOR,PODRAVSKA
RAČA,DOMŽALE,OSREDNJESLOVENSKA
RAČE,RAČE - FRAM,PODRAVSKA
RAČEVA,ŽIRI,GORENJSKA
RAČICA,SEVNICA,POSAVSKA
RAČICA,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
RAČICE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
RAČJA VAS,BREŽICE,POSAVSKA
RAČJE SELO,TREBNJE,JUGOVZHODNA SLOVENIJA
RAČKI VRH,RADENCI,POMURSKA
RAČNI VRH,DOMŽALE,OSREDNJESLOVENSKA
RAŠA,SEŽANA,OBALNO-KRAŠKA
RAŠICA,LJUBLJANA,OSREDNJESLOVENSKA
RAŠICA,VELIKE LAŠČE,OSREDNJESLOVENSKA
RDEČI BREG - DEL,LOVRENC NA POHORJU,PODRAVSKA
RDEČI BREG - DEL,PODVELKA,KOROŠKA
RDEČI KAL,IVANČNA GORICA,OSREDNJESLOVENSKA
RDEČI KAL,TREBNJE,JUGOVZHODNA SLOVENIJA
REBER,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
REBER PRI ŠKOFLJICI,ŠKOFLJICA,OSREDNJESLOVENSKA
RECENJAK,LOVRENC NA POHORJU,PODRAVSKA
REJCOV GRIČ,IDRIJA,GORIŠKA
REKA,CERKNO,GORIŠKA
REKA,LAŠKO,SAVINJSKA
REMŠNIK,RADLJE OB DRAVI,KOROŠKA
RENKE,LITIJA,ZASAVSKA
RENKOVCI,TURNIŠČE,POMURSKA
RENČE,RENČE - VOGRSKO,GORIŠKA
REP,SLOVENSKA BISTRICA,PODRAVSKA
REPARJE,CERKNICA,PRIMORSKO-NOTRANJSKA
REPIŠČE,VIDEM,PODRAVSKA
REPLJE,TREBNJE,JUGOVZHODNA SLOVENIJA
REPNJE,VODICE,OSREDNJESLOVENSKA
REPNO,ŠENTJUR,SAVINJSKA
REPUŠ,DOBJE,SAVINJSKA
REPČE,LJUBLJANA,OSREDNJESLOVENSKA
REPČE,TREBNJE,JUGOVZHODNA SLOVENIJA
RESNIK,ZREČE,SAVINJSKA
RETEČE,ŠKOFJA LOKA,GORENJSKA
RETJE,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
RETJE NAD TRBOVLJAMI,TRBOVLJE,ZASAVSKA
RETNJE,TRŽIČ,GORENJSKA
REVA,TREBNJE,JUGOVZHODNA SLOVENIJA
REČICA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
REČICA OB PAKI,ŠMARTNO OB PAKI,SAVINJSKA
REČICA OB SAVINJI,REČICA OB SAVINJI,SAVINJSKA
REŠTANJ,KRŠKO,POSAVSKA
RIBJEK,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
RIBJEK,OSILNICA,JUGOVZHODNA SLOVENIJA
RIBNICA,BREŽICE,POSAVSKA
RIBNICA,PIVKA,PRIMORSKO-NOTRANJSKA
RIBNICA,RIBNICA,JUGOVZHODNA SLOVENIJA
RIBNICA NA POHORJU,RIBNICA NA POHORJU,KOROŠKA
RIBNIŠKO SELO,MARIBOR,PODRAVSKA
RIBNO,BLED,GORENJSKA
RIBČE,LITIJA,ZASAVSKA
RIBČEV LAZ,BOHINJ,GORENJSKA
RIFENGOZD,LAŠKO,SAVINJSKA
RIFNIK,ŠENTJUR,SAVINJSKA
RIGELJ PRI ORTNEKU,RIBNICA,JUGOVZHODNA SLOVENIJA
RIGONCE,BREŽICE,POSAVSKA
RIHARJEVEC,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
RIHPOVEC,TREBNJE,JUGOVZHODNA SLOVENIJA
RIHTAROVCI,RADENCI,POMURSKA
RIM,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
RIMSKE TOPLICE,LAŠKO,SAVINJSKA
RINČETOVA GRABA,LJUTOMER,POMURSKA
RITMERK,ORMOŽ,PODRAVSKA
RITOMEČE,HRPELJE - KOZINA,OBALNO-KRAŠKA
RITOZNOJ,SLOVENSKA BISTRICA,PODRAVSKA
RIŽANA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
RJAVCI,SVETI ANDRAŽ V SLOV. GORICAH,PODRAVSKA
RJAVICA,ROGAŠKA SLATINA,SAVINJSKA
RJAVČE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
ROB,VELIKE LAŠČE,OSREDNJESLOVENSKA
ROBANOV KOT,SOLČAVA,SAVINJSKA
ROBIDIŠČE,KOBARID,GORIŠKA
ROBIDNI BREG,KANAL,GORIŠKA
ROBIDNICA,GORENJA VAS - POLJANE,GORENJSKA
ROBIČ,KOBARID,GORIŠKA
RODEŽ,ZAGORJE OB SAVI,ZASAVSKA
RODICA,DOMŽALE,OSREDNJESLOVENSKA
RODIK,HRPELJE - KOZINA,OBALNO-KRAŠKA
RODINE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
RODINE,ŽIROVNICA,GORENJSKA
RODINE PRI TREBNJEM,TREBNJE,JUGOVZHODNA SLOVENIJA
RODMOŠCI,GORNJA RADGONA,POMURSKA
RODNI VRH,PODLEHNIK,PODRAVSKA
ROGATEC,ROGATEC,SAVINJSKA
ROGATEC NAD ŽELIMLJAMI,IG,OSREDNJESLOVENSKA
ROGATI HRIB,KOČEVJE,JUGOVZHODNA SLOVENIJA
ROGAČICE,SEVNICA,POSAVSKA
ROGAŠKA SLATINA,ROGAŠKA SLATINA,SAVINJSKA
ROGAŠOVCI,ROGAŠOVCI,POMURSKA
ROGINSKA GORCA,PODČETRTEK,SAVINJSKA
ROGLA,ZREČE,SAVINJSKA
ROGOZA,HOČE - SLIVNICA,PODRAVSKA
ROGOZNICA,LENART,PODRAVSKA
ROJE,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
ROJE PRI TREBELNEM,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
ROJE PRI ČATEŽU,TREBNJE,JUGOVZHODNA SLOVENIJA
ROPOČA,ROGAŠOVCI,POMURSKA
ROSALNICE,METLIKA,JUGOVZHODNA SLOVENIJA
ROTMAN,JURŠINCI,PODRAVSKA
ROVA,DOMŽALE,OSREDNJESLOVENSKA
ROVE,VOJNIK,SAVINJSKA
ROVE,ZAGORJE OB SAVI,ZASAVSKA
ROVIŠČE,ZAGORJE OB SAVI,ZASAVSKA
ROVIŠČE PRI STUDENCU,SEVNICA,POSAVSKA
ROVT,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
ROVT POD MENINO,NAZARJE,SAVINJSKA
ROVTARSKE ŽIBRŠE,LOGATEC,OSREDNJESLOVENSKA
ROVTE,LOGATEC,OSREDNJESLOVENSKA
ROVTE,RADOVLJICA,GORENJSKA
ROVTE V SELŠKI DOLINI,ŠKOFJA LOKA,GORENJSKA
ROČE,TOLMIN,GORIŠKA
ROČEVNICA,TRŽIČ,GORENJSKA
ROČICA,PESNICA,PODRAVSKA
ROČINJ,KANAL,GORIŠKA
ROŠNJA,STARŠE,PODRAVSKA
ROŠPOH - DEL,KUNGOTA,PODRAVSKA
ROŠPOH - DEL,MARIBOR,PODRAVSKA
ROŽANEC,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
ROŽANČE,BLOKE,PRIMORSKO-NOTRANJSKA
ROŽAR,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
ROŽENBERK,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
ROŽENGRUNT,SVETA ANA,PODRAVSKA
ROŽENPELJ,TREBNJE,JUGOVZHODNA SLOVENIJA
ROŽICE,HRPELJE - KOZINA,OBALNO-KRAŠKA
ROŽIČ VRH,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
ROŽIČKI VRH,SVETI JURIJ OB ŠČAVNICI,POMURSKA
ROŽIČNO,KAMNIK,OSREDNJESLOVENSKA
ROŽNA DOLINA,NOVA GORICA,GORIŠKA
ROŽNI DOL,SEMIČ,JUGOVZHODNA SLOVENIJA
ROŽNI VRH,CELJE,SAVINJSKA
ROŽNI VRH,TREBNJE,JUGOVZHODNA SLOVENIJA
ROŽNIK,GROSUPLJE,OSREDNJESLOVENSKA
ROŽNO,KRŠKO,POSAVSKA
RTIČE,ZAGORJE OB SAVI,ZASAVSKA
RUBIJE,KOMEN,OBALNO-KRAŠKA
RUCMANCI,SVETI TOMAŽ,PODRAVSKA
RUDNA VAS,RADEČE,POSAVSKA
RUDNICA,PODČETRTEK,SAVINJSKA
RUDNIK PRI MORAVČAH,MORAVČE,OSREDNJESLOVENSKA
RUDNIK PRI RADOMLJAH,KAMNIK,OSREDNJESLOVENSKA
RUDNO,ŽELEZNIKI,GORENJSKA
RUDOLFOVO,CERKNICA,PRIMORSKO-NOTRANJSKA
RUHNA VAS,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
RUMANJA VAS,STRAŽA,JUGOVZHODNA SLOVENIJA
RUNARSKO,BLOKE,PRIMORSKO-NOTRANJSKA
RUNEČ,ORMOŽ,PODRAVSKA
RUNTOLE,CELJE,SAVINJSKA
RUPE,CELJE,SAVINJSKA
RUPE,VELIKE LAŠČE,OSREDNJESLOVENSKA
RUPERČE,MARIBOR,PODRAVSKA
RUT,TOLMIN,GORIŠKA
RUTA,LOVRENC NA POHORJU,PODRAVSKA
RUČETNA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
RUŠE,RUŠE,PODRAVSKA
RUŠE,ŽALEC,SAVINJSKA
RŽIŠE,ZAGORJE OB SAVI,ZASAVSKA
RŽIŠČE,KOSTANJEVICA NA KRKI,POSAVSKA
RŽIŠČE,LITIJA,ZASAVSKA
SABONJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
SAD,IVANČNA GORICA,OSREDNJESLOVENSKA
SADINJA VAS,LJUBLJANA,OSREDNJESLOVENSKA
SADINJA VAS PRI DVORU,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
SADNI HRIB,KOČEVJE,JUGOVZHODNA SLOVENIJA
SAJENICE,MIRNA,JUGOVZHODNA SLOVENIJA
SAJEVCE,KOSTANJEVICA NA KRKI,POSAVSKA
SAJEVEC,RIBNICA,JUGOVZHODNA SLOVENIJA
SAJEVČE,POSTOJNA,PRIMORSKO-NOTRANJSKA
SAKSID,NOVA GORICA,GORIŠKA
SAKUŠAK,JURŠINCI,PODRAVSKA
SAMOTORICA,HORJUL,OSREDNJESLOVENSKA
SANABOR,VIPAVA,GORIŠKA
SAPNIK,KOSTEL,JUGOVZHODNA SLOVENIJA
SARSKO,IG,OSREDNJESLOVENSKA
SATAHOVCI,MURSKA SOBOTA,POMURSKA
SAVA,LITIJA,ZASAVSKA
SAVCI,SVETI TOMAŽ,PODRAVSKA
SAVICA,BOHINJ,GORENJSKA
SAVINA,LJUBNO,SAVINJSKA
SAVINSKO,MAKOLE,PODRAVSKA
SEBEBORCI,MORAVSKE TOPLICE,POMURSKA
SEBENJE,TRŽIČ,GORENJSKA
SEDLARJEVO,PODČETRTEK,SAVINJSKA
SEDLAŠEK,PODLEHNIK,PODRAVSKA
SEDLO,KOBARID,GORIŠKA
SEDRAŽ,LAŠKO,SAVINJSKA
SEGONJE,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
SEGOVCI,APAČE,POMURSKA
SEJANCI,SVETI TOMAŽ,PODRAVSKA
SEJENICE,TREBNJE,JUGOVZHODNA SLOVENIJA
SEKIRIŠČE,VELIKE LAŠČE,OSREDNJESLOVENSKA
SELA,OSILNICA,JUGOVZHODNA SLOVENIJA
SELA,PODČETRTEK,SAVINJSKA
SELA,SEŽANA,OBALNO-KRAŠKA
SELA,VIDEM,PODRAVSKA
SELA,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
SELA NA KRASU,MIREN - KOSTANJEVICA,GORIŠKA
SELA NAD PODMELCEM,TOLMIN,GORIŠKA
